Item Name ,Price (USD),Quantity,Total Price (USD),Purchase Link
PCB Order,$33.15,1,$33.15,https://www.pcbway.com/QuickOrderOnline.aspx
Teensy 4.1,$37.50,1,$37.50,https://www.amazon.com/PJRC-Cortex-M7-Processor-iMXRT1062-Without/dp/B088JY7P2H/ref=sr_1_4?crid=3V8HWNB348737&dib=eyJ2IjoiMSJ9.Lkw59eYyFxKQyzTPim1uKObnwYtiZCz5x4A9f4-Eruz7sKui1rv0PcNPSXV5O3rVvWaUuXELj6KWf8TU2xkDAJ1VD_wMul5_j-keQ0nEDZF8SrnOGA7aM1Eek_mguLteZVK808nSoV-Ob4YFrZR3rpuBS3t7X15BdisdzcXLZlmtSMOuNP-CZyQul49i30jkNEVj5sSDpyIxTKgY2YCmlNm5z6XuySr_kugvWYxe_vc.mJz0sE-jZwqTxQLkHGHHkTCEiK9ihdXHob1CUTEi3o0&dib_tag=se&keywords=teensy+4.1&qid=1752952432&sprefix=teensy4.1%2Caps%2C190&sr=8-4
Male Pin Header Strips,OWNED,OWNED,OWNED,https://www.amazon.com/Straight-Breakaway-Connector-Breadboard-Electronic/dp/B09MYBRW3F/ref=sr_1_3?crid=M6ALUT3DME9V&dib=eyJ2IjoiMSJ9.9wEW5g2CUYJ6YoFLPhdCFH02SX09smyMARHequDpjjfqG-3Hwdhy5P1GMGaKeQZ0uNvpebMZ2SFQoURrWLSyf9d_koWovqdJb9sw7y5kHdkThHXMFFZwNnkaD0dNpKIY4_4hnSP1XRYQGrZ_ZdATxpAisVRU1SSlgRDVD4ZEDbciYHT6twjdaeQxND48BMyamL6WuHWzh3o-WCxCVrWHtYCOcapKxzELSfWJ6IpBI38.-7ibIG6LSL5U38UjzgVQARwdKD3UYmEzGFZOSTxaKbU&dib_tag=se&keywords=breakaway+headers&qid=1752952288&sr=8-3
Female Pin Header Strips,$0.99,1,$0.99,https://www.aliexpress.us/item/2251832850099221.html?spm=a2g0o.productlist.main.40.52bfHbovHbovcd&algo_pvid=d9e2d06f-f188-465f-aa03-c7ca16b292fa&algo_exp_id=d9e2d06f-f188-465f-aa03-c7ca16b292fa-39&pdp_ext_f=%7B%22order%22%3A%22574%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%214.08%210.99%21%21%214.08%210.99%21%402101effb17538209892847078ee32f%2167330869980%21sea%21US%210%21ABX&curPageLogUid=CeII8WqzxbOu&utparam-url=scene%3Asearch%7Cquery_from%3A&_gl=1*1dp2rp2*_gcl_au*NDE3MDczODY1LjE3NTM2MzMxMzI.*_ga*NDk2OTY4NTA3LjE3NTM4MTM4MzU.*_ga_VED1YSGNC7*czE3NTM4MjA5OTMkbzIkZzAkdDE3NTM4MjA5OTMkajYwJGwwJGgw
7.4 5200aH Lipo,$15.97,1,$15.97,https://www.amazon.com/Zeee-5200mAh-Battery-Truggy-Airplane/dp/B06ZYRCPS3/ref=sr_1_8?crid=2ASSDZ1P871T4&dib=eyJ2IjoiMSJ9.fFYJcK6tFgPVZX92BU1Qr1bwiZygkRVL3eSc7l1W0jVarwN4a8dTREeLakQ_79051NPQnE3rZzvxoMzgURA1dzvyxfO7sEbR4neutLl54Go-1aTMQkhkVUm6wAzEBk0E5E9j9v-EOWDCeYSD7xTRsvYo2XPbmKKncB1yhpVOX9mjHRvlWMikw37oBmqnLeDq-Bq6fT2HrQEH1_-RCfRdbo2P-1Z6ggM5jeV9KrvcW_gdA-vQOd9zoGBXxDTKJ_64OqoS81rGwlNkPJZJ_lz2rbSAxwmox9b89lqvyqayLpY.a5zXjxZ9Daj08HKF-XtwC0-jyVNMHQBRlG5WPRbvkj0&dib_tag=se&keywords=lipo+7.4&qid=1752192841&sprefix=lipo+7.4%2Caps%2C128&sr=8-8
ACS712 Current Sensor,$1.15,1,$1.15,https://lcsc.com/product-detail/Current-Sensors_ALLEGRO-ACS712ELCTR-05B-T_C44471.html?s_z=n_ACS712%2520
WS2812B Individual LEDS,$0.41,1,$0.41,https://lcsc.com/product-detail/RGB-LEDs-Built-in-IC_XINGLIGHT-XL-5050RGBC-WS2812B_C2843785.html?s_z=n_ws2812b
SN74HCT125D,$1.06,1,$1.06,https://lcsc.com/product-detail/Buffers-Drivers-Receivers-Transceivers_TI-SN74HCT125DR_C352957.html?s_z=n_SN74HCT125D
10pc Buzzers,$0.49,1,$0.49,https://lcsc.com/product-detail/Buzzers_YUEXIN-YX-YD2319_C781874.html?s_z=n_buzzer
OLED,$1.97,1,$1.97,https://lcsc.com/product-detail/OLED-Display_HS-HS96L03W2C03_C5248080.html?s_z=n_oled%25200.96
Total Cost,,,$90.72,
